iter	Passed	Remaining
0	68	68300
1	77	38560
2	86	28793
3	96	23905
4	100	20023
5	108	18045
6	117	16613
7	124	15472
8	132	14615
9	141	14006
10	149	13471
11	157	12999
12	166	12609
13	174	12324
14	183	12038
15	193	11871
16	199	11512
17	206	11239
18	212	10956
19	215	10578
20	224	10460
21	228	10162
22	236	10045
23	243	9910
24	251	9804
25	259	9713
26	263	9482
27	271	9420
28	278	9326
29	284	9203
30	291	9106
31	298	9043
32	306	8992
33	313	8917
34	322	8880
35	329	8833
36	338	8807
37	345	8752
38	352	8697
39	360	8662
40	368	8623
41	375	8567
42	385	8570
43	394	8566
44	399	8485
45	408	8463
46	415	8425
47	423	8399
48	432	8389
49	440	8377
50	449	8366
51	457	8340
52	464	8294
53	471	8255
54	478	8228
55	484	8170
56	491	8132
57	499	8105
58	506	8081
59	514	8055
60	521	8023
61	529	8003
62	534	7953
63	542	7932
64	550	7913
65	555	7859
66	559	7789
67	566	7761
68	574	7746
69	583	7747
70	588	7700
71	596	7686
72	604	7672
73	611	7646
74	618	7624
75	625	7609
76	634	7600
77	639	7564
78	649	7571
79	660	7594
80	671	7614
81	681	7631
82	690	7629
83	696	7599
84	704	7580
85	712	7567
86	718	7542
87	726	7528
88	730	7473
89	738	7462
90	746	7453
91	751	7421
92	758	7402
93	766	7384
94	775	7391
95	786	7402
96	794	7396
97	799	7363
98	807	7348
99	814	7326
100	821	7314
101	829	7303
102	836	7285
103	844	7275
104	848	7234
105	856	7225
106	864	7214
107	871	7197
108	880	7199
109	897	7262
110	903	7237
111	920	7295
112	927	7283
113	934	7264
114	942	7249
115	949	7239
116	958	7230
117	965	7217
118	968	7172
119	975	7154
120	984	7149
121	991	7138
122	999	7127
123	1006	7109
124	1013	7091
125	1020	7076
126	1027	7063
127	1034	7048
128	1040	7027
129	1045	6994
130	1052	6981
131	1060	6971
132	1067	6956
133	1074	6942
134	1084	6948
135	1095	6957
136	1103	6950
137	1108	6922
138	1115	6908
139	1125	6913
140	1141	6954
141	1148	6940
142	1157	6934
143	1166	6931
144	1173	6917
145	1179	6901
146	1186	6883
147	1191	6860
148	1199	6849
149	1205	6833
150	1212	6819
151	1216	6788
152	1223	6771
